Block Number,Sender,Receiver,Value,Type
21109541,0xa91cfc6993bbd7b093479c2445453c4e73bcb377,0xe6ae75be7c9317af842b8f2c2cd6dc7f49f17184,0x1698,0x2
21109541,0xd1fa51f2db23a9fa9d7bb8437b89fb2e70c60cb7,0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,0xaf,0x2
21109541,0xbd9b34ccbb8db0fdecb532b1eaf5d46f5b673fe8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x0
21109541,0x07be7d2abb1373cb4d0cbac8807dc853f9dd9286,0xebaa45cc86d8d4b8ebcf92d6f7d0bac977fea576,0x0,0x0
21109541,0xaf2c39ec335c6f0b94d29e66b528fa33a2665cac,0x6a6b56992c66889d4e32638ac48d15f95401f10b,0x0,0x2
21109541,0x930a46935042d35cc4393ff5f9b9bf9f2e3afd09,0x5b14db1af7101ec1dafa828eaa774e13161efb53,0x446dd2683be0f8d0,0x2
21109541,0x1acca2afa880df01289c20fa3ef091c23018d1a4,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0,0x2
21109541,0x8735dc4dd38e005919f5e04409ca120406d1209e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x0,0x2
21109541,0xf16e77a989529aa4c58318acee8a1548df3fccc1,0x30b18f1c425123314c82b0236d7a349433755386,0x0,0x2
21109541,0x8e03ec7a5a2a07e3b9eb56954ca39206660153eb,0x57b9d10157f66d8c00a815b5e289a152dedbe7ed,0x0,0x0
21109541,0x3c02290922a3618a4646e3bbca65853ea45fe7c6,0x3b50805453023a91a8bf641e279401a0b23fa6f9,0x0,0x2
21109541,0xca883e1234b410a65338ce28b381692fd7e5735e,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x0
21109541,0x413375cc96dea6c6f366dcc238abbd10c789cac9,0x774fc664b829b80677c8f0ff1f42cd3ac9b4e42b,0x0,0x2
21109541,0xceed45ad0f1c8e621eef28a4643b06af04a6deb0,0xa9f9bf2b643348c0884f2eba4f712e833da9a2b8,0x0,0x2
21109541,0x2fccbca99350773998836a865a414ef40f31e4f1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x2
21109541,0xc37234a731f52824f42abddb56d4c5e82ec052fc,0x4947b72fed037ade3365da050a9be5c063e605a7,0x0,0x2
21109541,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x2
21109541,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x2
21109541,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0x0,0x2
21109541,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x2
21109541,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88,0x0,0x2
21109541,0xb5a46bc8b76fd2825aeb43db9c9e89e89158ecde,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0x0,0x2
21109541,0x012e1c28bd61d6714346d447c9ac45201d5c98ec,0x67cd8060ed3da912277ef37c03b0138914922fc1,0x72e85cb2d6af0,0x0
21109541,0x3bcd9c91cada5623dbfc33c384e9d88712c92033,0x29899091e6c88640a413ce6ae743550283946167,0x26c6be98386f67c,0x2
21109541,0xf52605c7b778563a5a9144ef4dc53b57463ca2c7,0xc883a6c3590f68722e1d3006b0c99574db5094d6,0x1b48f14dc1000,0x2
21109541,0x8048498c795c15f6471161ae029f6c888f43cb54,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0x0,0x2
21109541,0x930eecd4718be4950df4a9d1e873034a3ffbce6a,0xec53bf9167f50cdeb3ae105f56099aaab9061f83,0x0,0x2
21109541,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,0x1522900b6dafac587d499a862861c0869be6e428,0x0,0x2
21109541,0xc16bcb16ea5789469ff297d27e841cb021572887,0x1200da7d19570e7474aab533abf0ae67f89b46ef,0x0,0x2
21109541,0x8f42850a38336fce98a6d15af0c981207d23a09a,0xe9689028ede16c2fdfe3d11855d28f8e3fc452a3,0x0,0x2
21109541,0x414ac7645dc849984a1fbc2962ce4b5480061a78,0xaa25602bccf3bbde8e2f0f09f3a1f6def54593c0,0x0,0x2
21109541,0xf77010bfa7447610180edc2649d7dc171315fd78,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x2
21109541,0x44b15e28171093d960940b4a3bc814a179aea6cf,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0,0x2
21109541,0xf669e67e1f944ed62dc03b3295b0976d6f758489,0x61ab3d3637f27573bc5409f219cba6841e7bd18c,0xbbcc43cfe7ba8e,0x2
